    100      0.691709297864290E-01      0.179120436909478E-03
    400      0.204973101439508E-03      0.116694869778395E-05
    700      0.162020359334751E-04      0.119328435975396E-06
   1000      0.297114478384157E-05      0.245981421941367E-07
   1300      0.798115761093137E-06      0.703886766420055E-08
   1600      0.263712768932117E-06      0.241443903662482E-08
   1900      0.100489710412458E-06      0.927342049303325E-09
   2200      0.421382322978178E-07      0.387550130584791E-09
   2500      0.188943329338193E-07      0.171273419920453E-09
   2800      0.878627312308246E-08      0.781261869090759E-10
   3100      0.425588691091517E-08      0.368052518567536E-10
   3400      0.206198716223043E-08      0.177241880850653E-10
   3700      0.105062688947747E-08      0.860148626662389E-11
   4000      0.533036628794226E-09      0.422997705213211E-11
   4300      0.274319214472439E-09      0.207571288328699E-11
   4600      0.139785385771486E-09      0.101726674171774E-11
   4900      0.711218031286402E-10      0.496977388800906E-12
 This data is combined from 
 PK_Plus2.dat + PK_Regular_modified.dat + PK_Delta.dat = PK_regular_plus_modified.dat
