   1100.0000000000000        1.5229160126100524E-004   1.9738696920686736E-006
   1200.0000000000000        9.8645669237096772E-005   1.3259290723390064E-006
   1300.0000000000000        6.5265824483696667E-005   8.9290068048420648E-007
   1400.0000000000000        4.4214252111596323E-005   6.3240699437515188E-007
   1500.0000000000000        3.1262426431147826E-005   4.3484506359938396E-007
   1600.0000000000000        2.2437907958570503E-005   3.1115507492473272E-007
   1700.0000000000000        1.5226034621767895E-005   2.2028129491087310E-007
   1800.0000000000000        1.1599923597690163E-005   1.6054204986084620E-007
   1900.0000000000000        8.3459613656899352E-006   1.1868009758586366E-007
   2000.0000000000000        6.1861101018278198E-006   8.7430516347649124E-008
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
     Calculating P and K terms
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
   
   
   
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
     Calculating [+] distribution
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
   
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Using Vegas points:                   5.E+08
         Iteration:                   10
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
  

    xq              Plus                      regular                        delta                    combined PK                      error
   1100      0.340376979849711E-04      0.829215651794809E-04      0.353323380965533E-04      0.152291601261005E-03      0.197386969206867E-05
   1200      0.239754079890012E-04      0.522072572681387E-04      0.224630039799568E-04      0.986456692370968E-04      0.132592907233901E-05
   1300      0.168327599283420E-04      0.337546779443925E-04      0.146783866109622E-04      0.652658244836967E-04      0.892900680484206E-06
   1400      0.121138401084962E-04      0.222989277256879E-04      0.980148427741224E-05      0.442142521115963E-04      0.632406994375152E-06
   1500      0.955608515678013E-05      0.150389415509957E-04      0.666739972337202E-05      0.312624264311478E-04      0.434845063599384E-06
   1600      0.752266408447313E-05      0.102954537877854E-04      0.461979008631199E-05      0.224379079585705E-04      0.311155074924733E-06
   1700      0.483001355747796E-05      0.715328912734165E-05      0.324273193694828E-05      0.152260346217679E-04      0.220281294910873E-06
   1800      0.427158495883825E-05      0.502335413420734E-05      0.230498450464457E-05      0.115999235976902E-04      0.160542049860846E-06
   1900      0.311590344286577E-05      0.357374676334182E-05      0.165631115948235E-05      0.834596136568994E-05      0.118680097585864E-06
   2000      0.241927369560154E-05      0.256550345502353E-05      0.120133295120276E-05      0.618611010182782E-05      0.874305163476491E-07

