   100.00000000000000        3.1600613059109044E-002	2.5027499159419266E-006
   200.00000000000000        1.7445203270985870E-003	1.9254926334407761E-007
   300.00000000000000        3.0058648113674886E-004	3.9219132366674863E-008
   400.00000000000000        8.3292765566519224E-005	1.2102210785552611E-008
   500.00000000000000        3.0035504042643587E-005	4.7329984620863202E-009
   600.00000000000000        1.2798979935785100E-005	2.1456970862397075E-009
   700.00000000000000        6.1225720862107573E-006	1.0749331556607858E-009
   800.00000000000000        3.1884181434677851E-006	5.8053486574642113E-010
   900.00000000000000        1.7696975212192521E-006	3.3337514004658997E-010
   1000.0000000000000        1.0325913699196275E-006	2.0055494799887582E-010
   1100.0000000000000        6.2727412467422325E-007	1.2517400067686600E-010
   1200.0000000000000        3.9406229912971124E-007	8.0676029358014123E-011
   1300.0000000000000        2.5435984854810045E-007	5.3128305985719301E-011
   1400.0000000000000        1.6807893163073731E-007	3.5803335244461088E-011
   1500.0000000000000        1.1331429538415226E-007	2.4547199442909804E-011
   1600.0000000000000        7.7685583051091500E-008	1.7094722288603278E-011
   1700.0000000000000        5.4107846016098756E-008	1.2037425826543811E-011
   1800.0000000000000        3.8160714405038709E-008	8.5570257655623445E-012
   1900.0000000000000        2.7236912276635888E-008	6.1556340477135011E-012
   2000.0000000000000        1.9656053420563950E-008	4.4930543887110658E-012


   
 ____________________________________
     Calculating P and K terms       
 ____________________________________
 ````````````````````````````````````
  
 For xq =          100 
  
 RM48 INITIALIZED:        40           0         0



 INPUT PARAMETERS FOR VEGAS:  NDIM=  4  NCALL=   99574272.
                              IT=    0  ITMX=   15
                              MDS= -1   ND=  42
   1      0.3229671E-01 0.1095E-02  0.3229671E-01 0.1095E-02  0.000    
   2      0.3167059E-01 0.1866E-03  0.3168894E-01 0.1857E-03 0.3233    
^[[A^[[B   3      0.3168891E-01 0.9623E-04  0.3168892E-01 0.8580E-04 0.1627    
   4      0.3162223E-01 0.6713E-04  0.3164781E-01 0.5303E-04 0.2335    
   5      0.3166141E-01 0.5534E-04  0.3165428E-01 0.3834E-04 0.1833    
   6      0.3158282E-01 0.5044E-04  0.3162833E-01 0.3057E-04 0.3998    
   7      0.3155950E-01 0.4836E-04  0.3160886E-01 0.2586E-04 0.5733    
   8      0.3159983E-01 0.4732E-04  0.3160679E-01 0.2270E-04 0.4959    
   9      0.3160097E-01 0.4688E-04  0.3160569E-01 0.2044E-04 0.4358    
  10      0.3153051E-01 0.4661E-04  0.3159368E-01 0.1872E-04 0.6283    
  11      0.3157224E-01 0.4653E-04  0.3159071E-01 0.1737E-04 0.5840    
  12      0.3154720E-01 0.4641E-04  0.3158540E-01 0.1627E-04 0.6009    
  13      0.3158831E-01 0.4655E-04  0.3158571E-01 0.1536E-04 0.5513    
  14      0.3161062E-01 0.4664E-04  0.3158815E-01 0.1459E-04 0.5288    
  15      0.3161217E-01 0.4673E-04  0.3159028E-01 0.1393E-04 0.5082    



 INPUT PARAMETERS FOR VEGAS:  NDIM=  4  NCALL=  933897762.
                              IT=    0  ITMX=   30
                              MDS= -1   ND=  49
   1      0.3160290E-01 0.1371E-04  0.3160290E-01 0.1371E-04  0.000    
   2      0.3160181E-01 0.1371E-04  0.3160236E-01 0.9694E-05 0.3150E-02
   3      0.3161025E-01 0.1371E-04  0.3160499E-01 0.7915E-05 0.1120    
