    100     -0.144517697848017E-02      0.293996276425987E-06
    200     -0.773181488279308E-04      0.204167686878098E-07
    300     -0.128069745400575E-04      0.391189959295715E-08
    400     -0.339365458522405E-05      0.112732858520399E-08
    500     -0.116611863207815E-05      0.419871881061009E-09
    600     -0.472916798073707E-06      0.177280878734670E-09
    700     -0.214910521821931E-06      0.833781969439643E-10
    800     -0.106171607203802E-06      0.431955165924507E-10
    900     -0.559512359651944E-07      0.238340096542254E-10
   1000     -0.310051750081713E-07      0.133899454785885E-10
   1100     -0.178875100845753E-07      0.112850525492659E-10
   1200     -0.106672844890783E-07      0.492595295454705E-11
   1300     -0.654877515877059E-08      0.308046209079696E-11
   1400     -0.411416704864436E-08      0.199104139039305E-11
   1500     -0.263749202864079E-08      0.127104100266386E-11
   1600     -0.172167453123521E-08      0.848795519909832E-12
   1700     -0.114068645130601E-08      0.572170589089280E-12
   1800     -0.766534773141142E-09      0.386690676010453E-12
   1900     -0.520793855637533E-09      0.262074953981248E-12
   2000     -0.357511587106246E-09      0.183506488328163E-12


   ----------------------------------
   |Initializing Dipole Subtraction  |
   ----------------------------------
  
   real - Dipole Over 3body phasespace
 ``````````````````````````````````````
  
  
  
 For xq =          100 
  
 RM48 INITIALIZED:        40           0         0



 INPUT PARAMETERS FOR VEGAS:  NDIM=  6  NCALL=   48275138.
                              IT=    0  ITMX=   15
                              MDS=  1   ND=  50
   1     -0.1444537E-02 0.6351E-04 -0.1444537E-02 0.6351E-04  0.000    
   2     -0.1444426E-02 0.1482E-04 -0.1444432E-02 0.1443E-04 0.2922E-05
   3     -0.1433706E-02 0.7774E-05 -0.1436147E-02 0.6866E-05 0.2145    
   4     -0.1453013E-02 0.5995E-05 -0.1445787E-02 0.4504E-05  1.287    
   5     -0.1443321E-02 0.5219E-05 -0.1444735E-02 0.3410E-05 0.9974    
   6     -0.1446871E-02 0.4921E-05 -0.1445430E-02 0.2802E-05 0.8229    
   7     -0.1441527E-02 0.4924E-05 -0.1444478E-02 0.2436E-05 0.7650    
   8     -0.1442591E-02 0.4842E-05 -0.1444098E-02 0.2176E-05 0.6732    
   9     -0.1455889E-02 0.4832E-05 -0.1446114E-02 0.1983E-05  1.214    
  10     -0.1438156E-02 0.4747E-05 -0.1444940E-02 0.1830E-05  1.344    
  11     -0.1450692E-02 0.4985E-05 -0.1445629E-02 0.1718E-05  1.327    
  12     -0.1446061E-02 0.4798E-05 -0.1445678E-02 0.1617E-05  1.207    
  13     -0.1438212E-02 0.4857E-05 -0.1444939E-02 0.1535E-05  1.283    
  14     -0.1445558E-02 0.4792E-05 -0.1444997E-02 0.1462E-05  1.185    
  15     -0.1445228E-02 0.4728E-05 -0.1445017E-02 0.1396E-05  1.101    



 INPUT PARAMETERS FOR VEGAS:  NDIM=  6  NCALL=  488281250.
                              IT=    0  ITMX=   30
                              MDS= -1   ND=  25
   1     -0.1445491E-02 0.1607E-05 -0.1445491E-02 0.1607E-05  0.000    
   2     -0.1446579E-02 0.1575E-05 -0.1446046E-02 0.1125E-05 0.2335    
   3     -0.1442145E-02 0.1582E-05 -0.1444740E-02 0.9169E-06  2.133    
